time	V_out	I_out
0.017700	2088261821872457547550864230019797876736.000000	-5099866290528093558461779292463300608.000000
0.017800	4020843058179335098478152006390863888384.000000	-3936737259873865780088926223042871296.000000
0.017900	6516347928227784981738748615842921971712.000000	1979558323911915845492701501044293632.000000
0.018000	8819084914174385866070834000390871056384.000000	16792507126831423883018740274703630336.000000
0.018100	8995264643657171100699449196964118265856.000000	45660917652297703549481814644351827968.000000
0.018200	3230600400952305651746472208759951196160.000000	92939125859269600266533954398990630912.000000
0.018300	-14785633985998737619376697376286493900800.000000	157756497023296985538326134679662493696.000000
0.018400	-53812251693351758063728229777177531383808.000000	225550903525360329054985828626522439680.000000
0.018500	-123223794800031787100090832152362357882880.000000	254411360534227796399179062770810224640.000000
0.018600	-227569409411342608500821011256277330821120.000000	156702221701387410008949436078662615040.000000
0.018700	-355036292853857905059392795881128018837504.000000	-219461826008875887602740043141498273792.000000
0.018800	-457246867791116366087222198076019568541696.000000	-1096284410709960681896758468736601554944.000000
0.018900	-419373810472839298961038582281535429279744.000000	-2734059808635181431296792793540605247488.000000
0.019000	-24517104704192775000463131563660930973696.000000	-5316542627517253502007132927745201274880.000000
0.019100	1072880482401821566633146991269994343432192.000000	-8690459071182610873740762563401637429248.000000
0.019200	3330426323232293469340055246123504087597056.000000	-11886828319001285988974682699873816412160.000000
0.019300	7194526524371022037961422167228753851187200.000000	-12377707844976476564534208856414861918208.000000
0.019400	12770935043895715678041739035459434758275072.000000	-5125178322313809924149245486784720142336.000000
0.019500	19159903462667657710140156192325077429125120.000000	18277699901022808452551085005049125928960.000000
0.019600	23335342426066094745200012534016506821869568.000000	69617727886386386697807790370319119679488.000000
0.019700	18554708460596469843419733583521898181951488.000000	161744104536348985346026042493582910160896.000000
0.019800	-7410851459227705748845471823207057735024640.000000	301489812497809847115854846672939629150208.000000
0.019900	-73309083837616327973521066488195220846411776.000000	474481671435550416983054070021298646417408.000000
0.020000	-202704883652362820791856720976556398047395840.000000	618305458087735356826083923198816563494912.000000
0.020100	-415978888942459228273788208186203405104971776.000000	582444528450147369616589793189773029933056.000000
